Sample in Buffer,Sample in Window,TRIGGER,ap_done_OBUF,frame_out1_pixel_d0[95:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,BINARY
241,241,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
242,242,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
243,243,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
244,244,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
245,245,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
246,246,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
247,247,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
248,248,0,0,000000000000000000000000000101000000000000000000000000000001010000000000000000000000000000010100
249,249,0,0,000000000000000000000000000110000000000000000000000000000001100000000000000000000000000000011000
250,250,0,0,000000000000000000000000000101100000000000000000000000000001011000000000000000000000000000010110
251,251,0,0,000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000
252,252,0,0,000000000000000000000000000011100000000000000000000000000000111000000000000000000000000000001110
253,253,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
254,254,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
255,255,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
256,256,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
257,257,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
258,258,0,0,000000000000000000000000000010000000000000000000000000000000100000000000000000000000000000001000
259,259,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
260,260,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
261,261,0,0,000000000000000000000000000001100000000000000000000000000000011000000000000000000000000000000110
262,262,0,0,000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000000100
263,263,0,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
264,264,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
265,265,0,0,000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010
